docker : mysql: [Warning] Using a password on the command line interface can be
 insecure.
所在位置 行:445 字符: 91
+ ... /diag3.sql; docker exec pork-traceability-mysql-1 sh -c "mysql -uroot ...
+                 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (mysql: [Warning...an be insecure. 
   :String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 
TABLE_SCHEMA	TABLE_NAME	COLUMN_NAME
db_breeding	farm	farm_name
db_breeding	farm	license_no
db_breeding	farm	address
db_breeding	farm	contact_person
db_breeding	farm	contact_phone
db_breeding	pig_individual	ear_tag_no
db_breeding	pig_individual	breed
db_breeding	pig_individual	pen_no
db_breeding	pig_individual	source
db_breeding	pig_individual	content_hash
db_breeding	quarantine_certificate	cert_no
db_breeding	quarantine_certificate	issue_org
db_breeding	quarantine_certificate	inspector
db_breeding	quarantine_certificate	cert_type
db_breeding	quarantine_certificate	file_id
db_breeding	quarantine_certificate	ca_signature
db_breeding	quarantine_certificate	content_hash
db_breeding	slaughter_apply	apply_no
db_breeding	slaughter_apply	target_slaughterhouse
db_breeding	slaughter_apply	approver
db_breeding	slaughter_apply	reject_reason
db_breeding	vaccine_record	vaccine_name
db_breeding	vaccine_record	batch_no
db_breeding	vaccine_record	manufacturer
db_breeding	vaccine_record	dosage
db_breeding	vaccine_record	inject_site
db_breeding	vaccine_record	operator
db_breeding	vaccine_record	content_hash
db_common	blockchain_ledger	biz_key
db_common	blockchain_ledger	content_hash
db_common	blockchain_ledger	tx_hash
db_common	blockchain_record	event_id
db_common	blockchain_record	biz_type
db_common	blockchain_record	biz_key
db_common	blockchain_record	content_hash
db_common	blockchain_record	tx_hash
db_common	blockchain_record	error_msg
db_common	complaint_report	report_no
db_common	complaint_report	reporter_name
db_common	complaint_report	reporter_phone
db_common	complaint_report	target_qr_code
db_common	complaint_report	target_batch
db_common	complaint_report	complaint_text
db_common	complaint_report	handler
db_common	complaint_report	handle_note
db_common	complaint_report	device_id
db_common	file_metadata	file_id
db_common	file_metadata	original_name
db_common	file_metadata	stored_path
db_common	file_metadata	mime_type
db_common	file_metadata	sha256
db_common	file_metadata	uploader
db_common	file_metadata	biz_ref
db_common	sys_org	type
db_common	sys_org	name
db_common	sys_org	manager
db_common	sys_org	phone
db_common	sys_org	address
db_common	sys_org	remark
db_common	sys_permission	permission_code
db_common	sys_permission	permission_name
db_common	sys_permission	permission_type
db_common	sys_role	role_code
db_common	sys_role	role_name
db_common	sys_user	username
db_common	sys_user	password_hash
db_common	sys_user	password_salt
db_common	sys_user	nickname
db_common	sys_user	real_name
db_common	sys_user	phone
db_common	sys_user	email
db_common	sys_user	role
db_common	user_notification	title
db_common	user_notification	content
db_common	user_notification	type
db_common	user_notification	biz_type
db_distribution	carcass_batch	batch_no
db_distribution	carcass_batch	slaughterhouse
db_distribution	carcass_batch	operator
db_distribution	carcass_batch	note
db_distribution	cold_chain_transport	transport_no
db_distribution	cold_chain_transport	vehicle_no
db_distribution	cold_chain_transport	vehicle_type
db_distribution	cold_chain_transport	refrigeration
db_distribution	cold_chain_transport	driver_name
db_distribution	cold_chain_transport	driver_phone
db_distribution	cold_chain_transport	origin
db_distribution	cold_chain_transport	destination
db_distribution	cold_chain_transport	content_hash
db_distribution	split_batch	batch_no
db_distribution	split_batch	product_name
db_distribution	split_batch	package_type
db_distribution	split_batch	workshop
db_distribution	split_batch	operator
db_distribution	split_batch	file_ids
db_distribution	split_batch	note
db_distribution	split_batch	content_hash
db_distribution	store_receipt	store_name
db_distribution	store_receipt	receiver
db_distribution	store_receipt	receiver_phone
db_distribution	store_receipt	qty_diff_note
db_distribution	store_receipt	e_signature
db_distribution	store_receipt	source
db_distribution	store_receipt	source_ref
db_distribution	store_receipt	content_hash
db_distribution	temperature_log	recorder
db_distribution	temperature_log	record_method
db_distribution	temperature_log	source
db_distribution	temperature_log	source_ref
db_ingest	ingest_device	device_no
db_ingest	ingest_device	device_name
db_ingest	ingest_device	channel
db_ingest	ingest_device	location
db_ingest	ingest_device	secret_key
db_ingest	ingest_device	remark
db_ingest	ingest_staging	channel
db_ingest	ingest_staging	device_no
db_ingest	ingest_staging	biz_key
db_ingest	ingest_staging	source_ref
db_ingest	ingest_staging	target_table
db_ingest	ingest_staging	error_msg
db_ingest	ingest_staging	handler
db_ingest	ingest_staging	remark
db_sales	expire_warning	notify_channel
db_sales	expire_warning	handler
db_sales	recall_order	recall_no
db_sales	recall_order	reason
db_sales	recall_order	initiator
db_sales	recall_order	block_hash
db_sales	retail_sale	product_qr_code
db_sales	retail_sale	store_name
db_sales	retail_sale	block_hash
db_sales	retail_sale	source
db_sales	retail_sale	source_ref
db_slaughter	carcass_stamp	batch_no
db_slaughter	carcass_stamp	ear_tag_no
db_slaughter	carcass_stamp	carcass_no
db_slaughter	carcass_stamp	stamp_no
db_slaughter	carcass_stamp	stamp_type
db_slaughter	carcass_stamp	stamp_position
db_slaughter	carcass_stamp	veterinary
db_slaughter	carcass_stamp	e_signature
db_slaughter	carcass_stamp	remark
db_slaughter	carcass_stamp	content_hash
db_slaughter	entry_inspection	batch_no
db_slaughter	entry_inspection	ear_tag_no
db_slaughter	entry_inspection	source_farm
db_slaughter	entry_inspection	quarantine_cert
db_slaughter	entry_inspection	vehicle_no
db_slaughter	entry_inspection	abnormal_note
db_slaughter	entry_inspection	remark
db_slaughter	entry_inspection	content_hash
db_slaughter	entry_inspection	inspector
db_slaughter	entry_inspection	source
db_slaughter	entry_inspection	source_ref
db_slaughter	entry_inspection	file_ids
db_slaughter	ractopamine_test	test_no
db_slaughter	ractopamine_test	batch_no
db_slaughter	ractopamine_test	ear_tag_no
db_slaughter	ractopamine_test	sample_no
db_slaughter	ractopamine_test	test_type
db_slaughter	ractopamine_test	test_method
db_slaughter	ractopamine_test	test_target
db_slaughter	ractopamine_test	sample_part
db_slaughter	ractopamine_test	detection_limit
db_slaughter	ractopamine_test	operator
db_slaughter	ractopamine_test	source
db_slaughter	ractopamine_test	source_ref
db_slaughter	ractopamine_test	file_ids
db_slaughter	ractopamine_test	report_url
db_slaughter	ractopamine_test	remark
db_slaughter	ractopamine_test	content_hash
db_slaughter	slaughter_inspection	inspect_no
db_slaughter	slaughter_inspection	batch_no
db_slaughter	slaughter_inspection	ear_tag_no
db_slaughter	slaughter_inspection	organ_check
db_slaughter	slaughter_inspection	conclusion
db_slaughter	slaughter_inspection	issue_desc
db_slaughter	slaughter_inspection	disposal
db_slaughter	slaughter_inspection	veterinary
db_slaughter	slaughter_inspection	license_no
db_slaughter	slaughter_inspection	e_signature
db_slaughter	slaughter_inspection	file_ids
db_slaughter	slaughter_inspection	content_hash
db_slaughter	slaughterhouse	name
db_slaughter	slaughterhouse	license_no
db_slaughter	slaughterhouse	address
db_slaughter	slaughterhouse	contact_person
db_slaughter	slaughterhouse	contact_phone
db_slaughter	slaughterhouse	remark
col	hex	chars
staging.error_msg	E6B8A9E5BAA6E580BCE8B685E587BAE59088E79086E58CBAE997B45B2D36302C36305DEFBC9A2D3939392E30	24
staging.error_msg	E6B8A9E5BAA6E580BCE7BCBAE5A4B1E68896E99D9EE695B0E5AD97	9
staging.error_msg	E99D9EE5BC82E5B8B8E580BCEFBC8CE8B79DE4B88AE6ACA1E585A5E8B4A6E4B88DE8B6B320363020E7A792EFBC8CE68C89E69C80E5B08FE997B4E99A94E9998DE98787E6A0B7E4B8A2E5BC83	28

